,SurahNo,AyahNo,EnglishTranslation,Tafseer
10,2,4,"And who believe in the Revelation sent to thee, and sent before thy time, and (in their hearts) have the assurance of the Hereafter.","b'7. The fifth requirement is that one should believe in the Books revealed by God to His Prophets in the various ages and regions of the world, in the Book revealed to Muhammad (peace be on him) as well as in those revealed to the other Prophets who preceded him. The door of the Qur\x92an is closed to all those who do not consider it necessary for man to receive guidance from God. It is also closed to those who, even if they believe in the need for such guidance, do not consider it necessary to seek it through the channel of revelation and prophethood, but would rather weave their own set of ideas and concepts and regard them as equivalent to Divine Guidance.'"
11,2,5,"They are on (true) guidance, from their Lord, and it is these who will prosper.",b'There is no commentary by Abul Maududi available for this verse.'
12,2,6,"As to those who reject Faith, it is the same to them whether thou warn them or do not warn them; they will not believe.","b'9. That is, those people who do not meet these six requirements, or reject all or any one of the fundamentals set out above.'"
13,2,7,"Allah hath set a seal on their hearts and on their hearing, and on their eyes is a veil; great is the penalty they (incur).","b'10. This does not mean that their rejection of the Truth is a consequence of God sealing their hearts. What is meant is that God sealed their hearts and ears as a consequence of their decision to reject the fundamentals of faith, of their deliberate choice of a path divergent from that charted out by the Qur\x92an. Anyone who has worked for the dissemination of the Truth often finds that if, after full consideration, a person decides against a doctrine, his mind begins to move in a completely opposite direction so that he fails to appreciate anything that is explained to him. His ears become deaf, his eyes are blinded to the merits of that doctrine, and one gets the distinct impression that the person\x92s heart has indeed been sealed.'"
14,2,8,"Of the people there are some who say: ""We believe in Allah and the Last Day;"" but they do not (really) believe.",b'There is no commentary by Abul Maududi available for this verse.'
15,2,9,"Fain would they deceive Allah and those who believe, but they only deceive themselves, and realise (it) not!","b'11. These people delude themselves that their hypocritical behaviour will profit them when in fact it will prove harmful both in this world and the Next. A hypocrite may be able to fool people for a while, but it does not last long; his hypocrisy is ultimately seen through. As for the Next Life, it is obvious that his claim to be a true believer is contradicted by his own actions and is thus quite worthless.'"
16,2,10,"In their hearts is a disease; and Allah has increased their disease: And grievous is the penalty they (incur), because they are false (to themselves).",b'12. \x91 Disease\x92 here refers to the disease of hypocrisy. The statement that Allah has intensified this disease\x92 means that He does not punish the hypocrites immediately but allows them to indulge in their hypocrisy and exult in the success of their ruses. This feeling of success intensifies their hypocrisy.'
17,2,11,"When it is said to them: ""Make not mischief on the earth,"" they say: ""Why, we only Want to make peace!""",b'There is no commentary by Abul Maududi available for this verse.'
18,2,12,"Of a surety, they are the ones who make mischief, but they realise (it) not.",b'There is no commentary by Abul Maududi available for this verse.'
19,2,13,"When it is said to them: ""Believe as the others believe:"" They say: ""Shall we believe as the fools believe?"" Nay, of a surety they are the fools, but they do not know.",b'13. They are being asked to become Muslims in the same manner as others of their community became Muslims'
20,2,14,"When they meet those who believe, they say: ""We believe;"" but when they are alone with their evil ones, they say: ""We are really with you: We (were) only jesting.""","b'15. \x91Satan\x92 in Arabic means refractory, rebellious and headstrong, and is used for both human beings and jinn. Although this word is generally used in the Qur\x92an for the satans amongst the jinn, it is also used occasionally for human beings possessing satanic characteristics. The context generally explains whether the word \x91satan\x92 refers to jinn or to human beings. In this particular case the word \x91satans\x92 refers to those influential leaders of the time who were in the vanguard of opposition and hostility to Islam'"
21,2,15,"Allah will throw back their mockery on them, and give them rope in their trespasses; so they will wander like blind ones (To and fro).",b'There is no commentary by Abul Maududi available for this verse.'
22,2,16,"These are they who have bartered Guidance for error: But their traffic is profitless, and they have lost true direction,","b'16. This means that two opposite effects emerged when a true servant of God radiated the light which made it possible to distinguish true from false and right from wrong, and made the straight way distinct from the ways of error. To those endowed with true perception, all truths became evident. But those who were almost blinded by the worship of their animal desires perceived nothing.'"
23,2,17,"Their similitude is that of a man who kindled a fire; when it lighted all around him, Allah took away their light and left them in utter darkness. So they could not see.",b'There is no commentary by Abul Maududi available for this verse.'
24,2,18,"Deaf, dumb, and blind, they will not return (to the path).","b'17. They have become deaf to hear, dumb to utter and blind to perceive the truth.'"
25,2,19,"Or (another similitude) is that of a rain-laden cloud from the sky: In it are zones of darkness, and thunder and lightning: They press their fingers in their ears to keep out the stunning thunder-clap, the while they are in terror of death. But Allah is ever round the rejecters of Faith!","b'18. By thrusting their fingers into their ears they temporarily deceive themselves into believing that they can escape the catastrophic end that awaits them. However, they cannot escape that end since God with all His might, encompasses them.'"
26,2,20,"The lightning all but snatches away their sight; every time the light (Helps) them, they walk therein, and when the darkness grows on them, they stand still. And if Allah willed, He could take away their faculty of hearing and seeing; for Allah hath power over all things.","b'19. The first parable refers to those hypocrites who disbelieved completely but had become Muslims merely, to further their worldly interests. The second parable refers to those who were prone to doubt and hesitation or whose faith was weak; who believed in the Truth but not to the extent of exposing themselves to hardships for its sake. The \x91violent rainstorm\x92 here alludes to Islam, which came to the world as a blessing. \x91Pitch-dark clouds, thunder and lightning\x92 refer to trials, tribulations and difficulties which confronted the Islamic movement, owing to the violent opposition and resistance of those committed to Ignorance. The last part of the parable portrays the state of mind of the hypocrites. They move a little ahead when circumstances seem favourable, but when either difficulties cloud the horizon, or when they are given directives which run counter to their desires or inherited prejudices, they are seized with alarm and come to a halt.'"
27,2,21,"O ye people! Adore your Guardian-Lord, who created you and those who came before you, that ye may have the chance to learn righteousness;","b'21. Even though the message of the Qur\x92an is addressed to all, benefiting from it depends on ones willingness and on God\x92s succour in relation to that willingness. This is why the Qur\x92an first explained which kind of people can and which kind of people cannot benefit from the Qur\x92an. As this has been explained in the foregoing verses, the quintessence of the message to which the Qur\x92an invites all mankind is now put forth.'"
28,2,22,"Who has made the earth your couch, and the heavens your canopy; and sent down rain from the heavens; and brought forth therewith Fruits for your sustenance; then set not up rivals unto Allah when ye know (the truth).","b'23. That is, when man recognizes that all those things were done by none but God, then worship, devotion and service must be exclusively for Him. For who besides the Creator can legitimately claim these things from man?'"
29,2,23,"And if ye are in doubt as to what We have revealed from time to time to Our servant, then produce a Sura like thereunto; and call your witnesses or helpers (If there are any) besides Allah, if your (doubts) are true.","b'24. Before this, in Makka, opponents had often been challenged to produce anything of comparable merit if they believed the Qur\x92an to be the work of a human being. In Madina the same challenge was reiterated. (For similar challenges made elsewhere in the Qur\x92an, see (10: 38); (11: 13); (17: 88) and (52: 33)'"
30,2,24,"But if ye cannot- and of a surety ye cannot- then fear the Fire whose fuel is men and stones,- which is prepared for those who reject Faith.","b'25. This suggests, in a subtle manner, that in the Next Life not only will the unbelievers become the fuel of hell-fire, but that the same fate will befall the idol-stones they worshipped and before which they had prostrated themselves. They will then know, for sure, how far their idols had any share in godhead.'"
31,2,25,"But give glad tidings to those who believe and work righteousness, that their portion is Gardens, beneath which rivers flow. Every time they are fed with fruits therefrom, they say: ""Why, this is what we were fed with before,"" for they are given things in similitude; and they have therein companions pure (and holy); and they abide therein (for ever).",b'Tafseer Not Found'
32,2,26,"Allah disdains not to use the similitude of things, lowest as well as highest. Those who believe know that it is truth from their Lord; but those who reject Faith say: ""What means Allah by this similitude?"" By it He causes many to stray, and many He leads into the right path; but He causes not to stray, except those who forsake (the path),-","b'28. Here an objection is indirectly refuted. At several places in the Qur\x92an, spiders, flies, gnats and so on are mentioned in order to elucidate certain points. Opponents objected to this on the grounds that such objects were too lowly to find a place in the Book of God. They indicated that had the Qur\x92an indeed been a revelation from God it would not have mentioned such trivial objects.'"
33,2,27,"Those who break Allah's Covenant after it is ratified, and who sunder what Allah Has ordered to be joined, and do mischief on earth: These cause loss (only) to themselves.","b'31. The injunctions or ordinances issued by a sovereign to his servants and subjects are termed \x91ahd in Arabic since compliance with them becomes obligatory for the latter. \x91Ahd has been used here in this sense. The \x91ahd referred to signifies God\x92s eternal command that all human beings are obliged to render their service, obedience and worship to Him alone. \x91After its binding\x92 refers to the promise made by mankind to remain faithful to the injunctions of God at the time of Adam\x92s creation. (For details see( verse 7: 172)'"
34,2,28,"How can ye reject the faith in Allah?- seeing that ye were without life, and He gave you life; then will He cause you to die, and will again bring you to life; and again to Him will ye return.",b'There is no commentary by Abul Maududi available for this verse.'
35,2,29,"It is He Who hath created for you all things that are on earth; Moreover His design comprehended the heavens, for He gave order and perfection to the seven firmaments; and of all things He hath perfect knowledge.","b'34. It is difficult to explain precisely what is meant by the \x91seven heavens\x92. In all ages man has tried, with the help of observation and speculation, to conceptualize the \x91heavens\x92, i.e. that which lies beyond and above the earth. As we well know, the concepts that have thus developed have constantly changed. Hence it would be improper to tie the meaning of these words of the Qur\x92an to any one of these numerous concepts. What might be broadly inferred from this statement is that either God has divided the universe beyond the earth into seven distinct spheres, or that this earth is located in that part of the universe which consists of seven different spheres.'"
36,2,30,"Behold, thy Lord said to the angels: ""I will create a vicegerent on earth."" They said: ""Wilt Thou place therein one who will make mischief therein and shed blood?- whilst we do celebrate Thy praises and glorify Thy holy (name)?"" He said: ""I know what ye know not.""","b'36. Thus far man has been summoned to serve and obey God on the grounds that God is his creator and sustainer, that in His grasp lies man\x92s life and death, that He alone is the Lord Who rules over the entire universe in which he lives. In view of this, the only attitude which can be deemed appropriate for man is one of service and subjection to God.'"
37,2,31,"And He taught Adam the names of all things; then He placed them before the angels, and said: ""Tell me the names of these if ye are right.""","b'42. The nature of man\x92s knowledge is such that he acquires information of different things through their names. Hence it might be said that the sum total of man\x92s knowledge consists of the names of things. To teach Adam the names of all things means, therefore, imparting the knowledge of those things. us.43 you, only You, are All-Knowing, All Wise.\x92'"
38,2,32,"They said: ""Glory to Thee, of knowledge We have none, save what Thou Hast taught us: In truth it is Thou Who art perfect in knowledge and wisdom.""","b'43. It seems that the knowledge of each angel and each genre of angel is confined to its own sphere of competence. The angels appointed to administer, let us say, things relating to air have full knowledge about this subject but have no knowledge, say, about water, and so on and so forth. Man\x92s range of knowledge, however, is comprehensive. Even if man\x92s information in a particular area may be narrower than that of the angel directly concerned with it, the total range of his knowledge has a comprehensiveness which has not been granted to the angels.'"
39,2,33,"He said: ""O Adam! Tell them their names."" When he had told them, Allah said: ""Did I not tell you that I know the secrets of heaven and earth, and I know what ye reveal and what ye conceal?""","b'44. This demonstration of Adam\x92s capacity was an answer to the first of the doubts the angels had expressed. In this manner, they were made to realize that God had not only bestowed some authority upon man, but had also endowed him with knowledge. Fear of mischief and disorder through man\x92s appointment as vicegerent is only one aspect of the matter. The other aspect is constructive and offsets man\x92s potentiality for spreading mischief. For the wise will not sacrifice a major good for fear of a minor harm.'"
40,2,34,"And behold, We said to the angels: ""Bow down to Adam"" and they bowed down. Not so Iblis: he refused and was haughty: He was of those who reject Faith.","b'45. This signifies that all the angels whose jurisdiction embraces the earth and that part of the universe in which the earth is situated were ordered to devote themselves to man\x92s service. Since man had been invested with authority on earth the angels were told that whenever man wanted to make use of the powers with which he had been invested by God, and which God of His own will had allowed him to use, they should co-operate with him and enable him to do whatever to do, irrespective of right and wrong.'"
41,2,35,"We said: ""O Adam! dwell thou and thy wife in the Garden; and eat of the bountiful things therein as (where and when) ye will; but approach not this tree, or ye run into harm and transgression.""","b'48. This indicates that before man was sent to earth Moreover, for this kind of test Paradise was the best possible place. What God wanted to impress on man was that the only place that befits man\x92s station is Paradise, and that if man turns from the course of obedience to God as a result of Satanic allurements, he will remain deprived of it in the Next Life even as he was deprived of it once before. The only way he can recover his true status and reclaim the lost Paradise is by resisting effectively the enemy who is always trying to drive him off the course of obedience to God.'"
42,2,36,"Then did Satan make them slip from the (garden), and get them out of the state (of felicity) in which they had been. We said: ""Get ye down, all (ye people), with enmity between yourselves. On earth will be your dwelling-place and your means of livelihood - for a time.""","b'50. This means that Satan is the enemy of man, and vice versa. That Satan is the enemy, of man is obvious enough, for he tries to drive him off the course of obedience to God and leads him to perdition, but one might wonder how man could be referred to as the enemy of Satan. The fact is that man\x92s essential humanity makes this enmity incumbent upon him. Man, however, is often deceived by Satan and befriends him owing to the temptations that he holds out to him. This kind of friendship does not mean that the basic, irreconcilable clash of interests between man and Satan has been resolved. It only means that one of the two (Satan) has defeated and successfully trapped the other (man).'"
43,2,37,"Then learnt Adam from his Lord words of inspiration, and his Lord Turned towards him; for He is Oft-Returning, Most Merciful.","b'51. This means that when Adam became conscious of his act of sin and wanted to return from his state of disobedience to that of obedience, and when he tried to seek remission for his sin from God, he was unable to find the words to use in his prayer to God. In His Mercy God taught him the words with which he could pray.'"
44,2,38,"We said: ""Get ye down all from here; and if, as is sure, there comes to you Guidance from me, whosoever follows My guidance, on them shall be no fear, nor shall they grieve.",b'53. The reiteration of this statement is significant. We have been told above that Adam repented and that his repentance was accepted by God. This means that the stain of sin was washed away and therefore no stain remained'
45,2,39,"""But those who reject Faith and belie Our Signs, they shall be companions of the Fire; they shall abide therein.""","b'54. Ayat is the plural of ayah which means a \x91sign\x92 or \x91token\x92 which directs one to something important. In the Qur\x92an this word is used in four different senses. Sometimes it denotes a sign or indication. In certain other places the phenomena of the universe are called the ayat (signs) of God, for the reality to which the phenomena point is hidden behind the veil of appearances. At times the miracles performed by the Prophets are also termed ayat since they show that the Prophets were envoys of the Sovereign of the universe. Lastly, individual units of the Book of God are also called ayat because they point to the ultimate reality, and because the substantive contents of the Book of God, its phraseology, its style, its inimitable literary excellence are clear tokens of the attributes of the Author of the Book. The sense in which the word ayah has been used in a particular verse becomes evident from the context of its occurrence.'"
46,2,40,"O Children of Israel! call to mind the (special) favour which I bestowed upon you, and fulfil your covenant with Me as I fulfil My Covenant with you, and fear none but Me.",b'56. \x91Israel\x92 means the slave of God. This was the title conferred on Jacob (Ya\x92qub) by God Himself. He was the son of Isaac and the grandson of Abraham. His progeny are styled the \x91Children of Israel\x92.'
47,2,41,"And believe in what I reveal, confirming the revelation which is with you, and be not the first to reject Faith therein, nor sell My Signs for a small price; and fear Me, and Me alone.","b'57. \x91Trifling gain\x92 refers to the worldly benefits for the sake of which they were rejecting God\x92s directives. Whatever one may gain in exchange for the Truth, be it all the treasure in the world, is trifling; the Truth is of supreme value.'"
48,2,42,"And cover not Truth with falsehood, nor conceal the Truth when ye know (what it is).","b'58. For the proper understanding of this verse we need to recall that in the time of the Prophet the Jews of Arabia were more learned than the Arabs. In fact, there were some Jewish scholars of Arabia whose fame had spread even beyond the confines of that land. For this reason the Arabs tended to be intellectually overawed by them. In addition, the influence of the Jews had become pervasive and profound by virtue of the pomp and pageantry of their religious rites, and the magical crafts and feats of exorcism for which they were famous. The people of Madina, in particular, were greatly under the spell of the Jews. These Jews made on them the sort of impression generally created on ignorant neighbours by a better educated, more refined and more conspicuously religious group.'"
49,2,43,And be steadfast in prayer; practise regular charity; and bow down your heads with those who bow down (in worship).,"b'59. Prayer and Purifying Alms (Zakah) have always been among the most important pillars of the Islamic faith. Like other Prophets, the Prophets of Israel laid great stress upon them. The Jews had, however, become very negligent about these duties. Congregational Prayer had all but ceased among them; in fact, a great majority of the Jews did not perform Prayers even individually. They had also not only ceased to pay Purifying Alms, but some had even gone so far as to make their living out of interest.'"
50,2,44,"Do ye enjoin right conduct on the people, and forget (To practise it) yourselves, and yet ye study the Scripture? Will ye not understand?",b'There is no commentary by Abul Maududi available for this verse.'
51,2,45,"Nay, seek (Allah's) help with patient perseverance and prayer: It is indeed hard, except to those who bring a lowly spirit,-","b'60. That is, if they feel difficulty in keeping to righteousness, the remedy lies in resorting to Prayer and patience. From these two attributes they will derive the strength needed to follow their chosen course.'"
52,2,46,"Who bear in mind the certainty that they are to meet their Lord, and that they are to return to Him.","b'61. This means that Prayer is an insufferable encumbrance and affliction for the man who tends not to want to obey, God and to believe in the After-life. For the man who, of his own violation, has to stand before God after death, it is failure to perform the Prayer, rather than its performance, that becomes intolerable.'"
53,2,47,"Children of Israel! call to mind the (special) favour which I bestowed upon you, and that I preferred you to all other (for My Message).","b'62. This refers to that period of human history when, of all nations, only the Children of Israel possessed that knowledge of Truth which comes from God alone. At that time they were entrusted with the task of directing the nations of the world to righteousness; they were expected to serve God and to invite the rest of the world to do the same.'"
54,2,48,"Then guard yourselves against a day when one soul shall not avail another nor shall intercession be accepted for her, nor shall compensation be taken from her, nor shall anyone be helped (from outside).","b'63. A major reason for the degeneration of the Israelites was the corruption of their beliefs about the After that since they were related to those venerable saints and pious men who had dedicated themselves entirely to the service of God in the past, the, would be forgiven by the grace of those great men. They believed that once they had bound themselves firmly to those men of God, it would become impossible for God to punish them. Such false reliance made them negligent of true religious piety and enmeshed them in a life of sin and wickedness. Hence, as well as reminding the Children of Israel of God\x92s favour upon them, it was necessary to refute all the false ideas which they cherished.'"
55,2,49,"And remember, We delivered you from the people of Pharaoh: They set you hard tasks and punishments, slaughtered your sons and let your women-folk live; therein was a tremendous trial from your Lord.","b'64. From here on, through the several sections that follow, reference is made to the best'"
56,2,50,And remember We divided the sea for you and saved you and drowned Pharaoh's people within your very sight.,b'There is no commentary by Abul Maududi available for this verse.'
57,2,51,"And remember We appointed forty nights for Moses, and in his absence ye took the calf (for worship), and ye did grievous wrong.","b'67. When the Israelites reached the Sinai peninsula after their exodus from Egypt, God summoned Moses to the mountain for forty days and nights so that the nation which had now achieved independence could be taught law and morality. (See Exodus 24-3l.)'"
58,2,52,Even then We did forgive you; there was a chance for you to be grateful.,b'There is no commentary by Abul Maududi available for this verse.'
59,2,53,And remember We gave Moses the Scripture and the Criterion (Between right and wrong): There was a chance for you to be guided aright.,"b'69. \x91Criterion\x92 here means that understanding of religion which differentiates truth from falsehood, making each stand out distinctly.'"
60,2,54,"And remember Moses said to his people: ""O my people! Ye have indeed wronged yourselves by your worship of the calf: So turn (in repentance) to your Maker, and slay yourselves (the wrong-doers); that will be better for you in the sight of your Maker."" Then He turned towards you (in forgiveness): For He is Oft-Returning, Most Merciful.","b'70. That is, they should put to death those of their own number who made the calf an object of worship and actually worshipped it.'"
61,2,55,"And remember ye said: ""O Moses! We shall never believe in thee until we see Allah manifestly,"" but ye were dazed with thunder and lighting even as ye looked on.",b'There is no commentary by Abul Maududi available for this verse.'
62,2,56,Then We raised you up after your death: Ye had the chance to be grateful.,"b'71. The incident referred to here is the following. When Moses went to the mountain he had been ordered to bring with him seventy elders of Israel. Later, when God bestowed upon Moses the Book and the Criterion, he presented them to the people. Some mischief-makers, according to the Qur\x92an, began to complain that they could not believe in something just because Moses claimed that God had spoken to him. This invited the wrath of God and they were punished. The Old Testament, however, has the following account:'"
63,2,57,"And We gave you the shade of clouds and sent down to you Manna and quails, saying: ""Eat of the good things We have provided for you:"" (But they rebelled); to us they did no harm, but they harmed their own souls.","b'72. That is, God provided them with shade from clouds in the Sinai peninsula where there was no shelter from the heat of the sun.'"
64,2,58,"And remember We said: ""Enter this town, and eat of the plenty therein as ye wish; but enter the gate with humility, in posture and in words, and We shall forgive you your faults and increase (the portion of) those who do good.""","b'74. It has not yet been possible to arrive at any conclusion about the identity of the locality mentioned here. The series of events in the context of which God\x92s command to enter the city is mentioned belong to the period of the exodus of the Children of Israel in the Sinai peninsula. It is therefore probable that the place mentioned in this verse is some Sinaitic city. Another plausible suggestion is that it is Shattim, which was located opposite Jericho on the eastern bank of the river Jordan. According to the Bible the Israelites conquered this town during the last years of the life of Moses. After the conquest the Israelites became so decadent that God smote them with a plague from which twenty-four thousand died (Numbers 25: 1-9).'"
65,2,59,"But the transgressors changed the word from that which had been given them; so We sent on the transgressors a plague from heaven, for that they infringed (Our command) repeatedly.",b'There is no commentary by Abul Maududi available for this verse.'
66,2,60,"And remember Moses prayed for water for his people; We said: ""Strike the rock with thy staff."" Then gushed forth therefrom twelve springs. Each group knew its own place for water. So eat and drink of the sustenance provided by Allah, and do no evil nor mischief on the (face of the) earth.",b'76 That rock can still be seen in the Sinai Peninsula with the twelve holes of the springs. Twelve springs were caused to flow for the Israelites in order to avoid water disputes among their twelve clans.'
67,2,61,"And remember ye said: ""O Moses! we cannot endure one kind of food (always); so beseech thy Lord for us to produce for us of what the earth groweth, -its pot-herbs, and cucumbers, Its garlic, lentils, and onions."" He said: ""Will ye exchange the better for the worse? Go ye down to any town, and ye shall find what ye want!"" They were covered with humiliation and misery; they drew on themselves the wrath of Allah. This because they went on rejecting the Signs of Allah and slaying His Messengers without just cause. This because they rebelled and went on transgressing.",b'77. This does not mean that their real fault lay in asking for things which entailed cultivation instead of availing themselves of manna and quails which they received without any toil. What is emphasized here is that rather than being concerned with the great purpose for which they had been brought to the Sinai they relished the foods which gratified their palates to such a degree that they could not forgo them even temporarily (cf. Numbers 11: 4-9).'
68,2,62,"Those who believe (in the Qur'an), and those who follow the Jewish (scriptures), and the Christians and the Sabians,- any who believe in Allah and the Last Day, and work righteousness, shall have their reward with their Lord; on them shall be no fear, nor shall they grieve.","b'80. The context of the verse makes it clear that it is not attempting to enumerate in detail all the articles of faith in which one should believe, or all the principles of conduct which one should follow in order to merit reward from God. These matters are mentioned elsewhere, in their appropriate places. The aim of the verse is merely to repudiate the illusion cherished by the Jews that, by virtue of their being Jews, they have a monopoly of salvation. They had long entertained the notion that a special and exclusive relationship existed between them and God. They thought, therefore, that all who belonged to their group were predestined to salvation regardless of their beliefs and actions,. whereas all non-Jews were predestined to serve as fodder for hell-fire.'"
69,2,63,"And remember We took your covenant and We raised above you (The towering height) of Mount (Sinai): (Saying): ""Hold firmly to what We have given you and bring (ever) to remembrance what is therein: Perchance ye may fear Allah.""","b'81. From the manner in which this incident is described at various places in the Qur\x92an it is obvious that, at that time, it was quite well known to the Israelites. It is difficult, however, after the Passage of many centuries to be able to speak with certainty about the precise nature of the incident. All we can say is that while the Children of Israel were making their covenant in the shadow of Mount Sinai, they witnessed an awesome phenomenon and felt as if the mountain was about to fall upon them. (Verse 171 of Surah al-A\x92raf) seems to portray this. See also (n. 132 in that surah.)'"
70,2,64,"But ye turned back thereafter: Had it not been for the Grace and Mercy of Allah to you, ye had surely been among the lost.",b'There is no commentary by Abul Maududi available for this verse.'
71,2,65,"And well ye knew those amongst you who transgressed in the matter of the Sabbath: We said to them: ""Be ye apes, despised and rejected.""","b'82. Sabbath, i.e., Saturday . It was laid down that the Israelite should consecrate that day for rest and worship. They were required to from abstain from all worldly acts, including cooking (which they might neither do themselves, nor have their servants do for them). The injunctions, in this connection were so strict that violation of the Sabbath was to be punished with death. (See Exodus 31:12-17. ) When religious and moral decadence, however, spread among the Israelites they indulged in open desecration of the Sabbath, so much so that in Jewish towns trade and commerce were carried out in broad daylight.'"
72,2,66,"So We made it an example to their own time and to their posterity, and a lesson to those who fear Allah.",b'There is no commentary by Abul Maududi available for this verse.'
