Name,Surah,Ayat,Arabic
The Cow,2,10,فِي قُلُوبِهِم مَّرَضٌ فَزَادَهُمُ ٱللَّهُ مَرَضاً وَلَهُم عَذَابٌ أَلِيمٌ بِمَا كَانُوا يَكْذِبُونَ
The Cow,2,11,وَإِذَا قِيلَ لَهُمْ لاَ تُفْسِدُواْ فِي ٱلأَرْضِ قَالُوۤاْ إِنَّمَا نَحْنُ مُصْلِحُونَ
The Cow,2,12,أَلاۤ إِنَّهُمْ هُمُ ٱلْمُفْسِدُونَ وَلَـٰكِن لاَّ يَشْعُرُونَ
The Cow,2,13,وَإِذَا قِيلَ لَهُمْ آمِنُواْ كَمَآ آمَنَ ٱلنَّاسُ قَالُوۤاْ أَنُؤْمِنُ كَمَآ آمَنَ ٱلسُّفَهَآءُ أَلاۤ إِنَّهُمْ هُمُ ٱلسُّفَهَآءُ وَلَـٰكِن لاَّ يَعْلَمُونَ
The Cow,2,14,وَإِذَا لَقُواْ ٱلَّذِينَ آمَنُواْ قَالُوۤا آمَنَّا وَإِذَا خَلَوْاْ إِلَىٰ شَيَاطِينِهِمْ قَالُوۤاْ إِنَّا مَعَكُمْ إِنَّمَا نَحْنُ مُسْتَهْزِءُونَ
The Cow,2,15,ٱللَّهُ يَسْتَهْزِئُ بِهِمْ وَيَمُدُّهُمْ فِي طُغْيَانِهِمْ يَعْمَهُونَ
The Cow,2,16,أُوْلَـٰئِكَ ٱلَّذِينَ ٱشْتَرَوُاْ ٱلضَّلَـٰلَةَ بِٱلْهُدَىٰ فَمَا رَبِحَتْ تِّجَارَتُهُمْ وَمَا كَانُواْ مُهْتَدِينَ
The Cow,2,17,مَثَلُهُمْ كَمَثَلِ ٱلَّذِي ٱسْتَوْقَدَ نَاراً فَلَمَّآ أَضَآءَتْ مَا حَوْلَهُ ذَهَبَ ٱللَّهُ بِنُورِهِمْ وَتَرَكَهُمْ فِي ظُلُمَٰتٍ لاَّ يُبْصِرُونَ
The Cow,2,18,صُمٌّ بُكْمٌ عُمْيٌ فَهُمْ لاَ يَرْجِعُونَ
The Cow,2,19,أَوْ كَصَيِّبٍ مِّنَ ٱلسَّمَآءِ فِيهِ ظُلُمَٰتٌ وَرَعْدٌ وَبَرْقٌ يَجْعَلُونَ أَصَٰبِعَهُمْ فِيۤ آذَانِهِم مِّنَ ٱلصَّوَٰعِقِ حَذَرَ ٱلْمَوْتِ وٱللَّهُ مُحِيطٌ بِٱلْكَٰفِرِينَ
The Cow,2,20,يَكَادُ ٱلْبَرْقُ يَخْطَفُ أَبْصَٰرَهُمْ كُلَّمَا أَضَآءَ لَهُمْ مَّشَوْاْ فِيهِ وَإِذَآ أَظْلَمَ عَلَيْهِمْ قَامُواْ وَلَوْ شَآءَ ٱللَّهُ لَذَهَبَ بِسَمْعِهِمْ وَأَبْصَٰرِهِمْ إِنَّ ٱللَّهَ عَلَىٰ كُلِّ شَيْءٍ قَدِيرٌ
The Cow,2,21,يَٰـأَيُّهَا ٱلنَّاسُ ٱعْبُدُواْ رَبَّكُمُ ٱلَّذِي خَلَقَكُمْ وَٱلَّذِينَ مِن قَبْلِكُمْ لَعَلَّكُمْ تَتَّقُونَ
The Cow,2,22,ٱلَّذِي جَعَلَ لَكُمُ ٱلأَرْضَ فِرَٰشاً وَٱلسَّمَاءَ بِنَآءً وَأَنزَلَ مِنَ ٱلسَّمَآءِ مَآءً فَأَخْرَجَ بِهِ مِنَ ٱلثَّمَرَٰتِ رِزْقاً لَّكُمْ فَلاَ تَجْعَلُواْ للَّهِ أَندَاداً وَأَنْتُمْ تَعْلَمُونَ
The Cow,2,23,وَإِن كُنْتُمْ فِي رَيْبٍ مِّمَّا نَزَّلْنَا عَلَىٰ عَبْدِنَا فَأْتُواْ بِسُورَةٍ مِّن مِّثْلِهِ وَٱدْعُواْ شُهَدَآءَكُم مِّن دُونِ ٱللَّهِ إِنْ كُنْتُمْ صَٰدِقِينَ
The Cow,2,24,فَإِن لَّمْ تَفْعَلُواْ وَلَن تَفْعَلُواْ فَٱتَّقُواْ ٱلنَّارَ ٱلَّتِي وَقُودُهَا ٱلنَّاسُ وَٱلْحِجَارَةُ أُعِدَّتْ لِلْكَٰفِرِينَ
The Cow,2,25,وَبَشِّرِ ٱلَّذِين آمَنُواْ وَعَمِلُواْ ٱلصَّـٰلِحَٰتِ أَنَّ لَهُمْ جَنَّٰتٍ تَجْرِي مِن تَحْتِهَا ٱلأَنْهَٰرُ كُلَّمَا رُزِقُواْ مِنْهَا مِن ثَمَرَةٍ رِّزْقاً قَالُواْ هَـٰذَا ٱلَّذِي رُزِقْنَا مِن قَبْلُ وَأُتُواْ بِهِ مُتَشَٰبِهاً وَلَهُمْ فِيهَآ أَزْوَٰجٌ مُّطَهَّرَةٌ وَهُمْ فِيهَا خَٰلِدُونَ
The Cow,2,26,إِنَّ ٱللَّهَ لاَ يَسْتَحْى أَن يَضْرِبَ مَثَلاً مَّا بَعُوضَةً فَمَا فَوْقَهَا فَأَمَّا ٱلَّذِينَ آمَنُواْ فَيَعْلَمُونَ أَنَّهُ ٱلْحَقُّ مِن رَّبِّهِمْ وَأَمَّا ٱلَّذِينَ كَفَرُواْ فَيَقُولُونَ مَاذَآ أَرَادَ ٱللَّهُ بِهَـٰذَا مَثَلاً يُضِلُّ بِهِ كَثِيراً وَيَهْدِي بِهِ كَثِيراً وَمَا يُضِلُّ بِهِ إِلاَّ ٱلْفَٰسِقِينَ
The Cow,2,27,ٱلَّذِينَ يَنقُضُونَ عَهْدَ ٱللَّهِ مِن بَعْدِ مِيثَٰقِهِ وَيَقْطَعُونَ مَآ أَمَرَ ٱللَّهُ بِهِ أَن يُوصَلَ وَيُفْسِدُونَ فِي ٱلأرْضِ أُولَـۤئِكَ هُمُ ٱلْخَٰسِرُونَ
The Cow,2,28,كَيْفَ تَكْفُرُونَ بِٱللَّهِ وَكُنْتُمْ أَمْوَٰتاً فَأَحْيَٰكُمْ ثُمَّ يُمِيتُكُمْ ثُمَّ يُحْيِيكُمْ ثُمَّ إِلَيْهِ تُرْجَعُونَ
The Cow,2,29,هُوَ ٱلَّذِي خَلَقَ لَكُمْ مَّا فِي ٱلأَرْضِ جَمِيعاً ثُمَّ ٱسْتَوَىٰ إِلَى ٱلسَّمَآءِ فَسَوَّٰهُنَّ سَبْعَ سَمَٰوَٰتٍ وَهُوَ بِكُلِّ شَيْءٍ عَلِيمٌ
The Cow,2,30,وَإِذْ قَالَ رَبُّكَ لِلْمَلَٰئِكَةِ إِنِّي جَاعِلٌ فِي ٱلأَرْضِ خَلِيفَةً قَالُواْ أَتَجْعَلُ فِيهَا مَن يُفْسِدُ فِيهَا وَيَسْفِكُ ٱلدِّمَآءَ وَنَحْنُ نُسَبِّحُ بِحَمْدِكَ وَنُقَدِّسُ لَكَ قَالَ إِنِّيۤ أَعْلَمُ مَا لاَ تَعْلَمُونَ
The Cow,2,31,وَعَلَّمَ ءَادَمَ ٱلأَسْمَآءَ كُلَّهَا ثُمَّ عَرَضَهُمْ عَلَى ٱلْمَلَٰئِكَةِ فَقَالَ أَنْبِئُونِي بِأَسْمَآءِ هَـٰؤُلاۤءِ إِن كُنْتُمْ صَٰدِقِينَ
The Cow,2,32,قَالُواْ سُبْحَٰنَكَ لاَ عِلْمَ لَنَآ إِلاَّ مَا عَلَّمْتَنَآ إِنَّكَ أَنْتَ ٱلْعَلِيمُ ٱلْحَكِيمُ
The Cow,2,33,قَالَ يَآءَادَمُ أَنبِئْهُمْ بِأَسْمَآئِهِمْ فَلَمَّآ أَنْبَأَهُمْ بِأَسْمَآئِهِمْ قَالَ أَلَمْ أَقُلْ لَّكُمْ إِنِيۤ أَعْلَمُ غَيْبَ ٱلسَّمَٰوَٰتِ وَٱلأَرْضِ وَأَعْلَمُ مَا تُبْدُونَ وَمَا كُنْتُمْ تَكْتُمُونَ
The Cow,2,34,وَإِذْ قُلْنَا لِلْمَلَٰئِكَةِ ٱسْجُدُواْ لأَدَمَ فَسَجَدُواْ إِلاَّ إِبْلِيسَ أَبَىٰ وَٱسْتَكْبَرَ وَكَانَ مِنَ ٱلْكَٰفِرِينَ
The Cow,2,35,وَقُلْنَا يَآءَادَمُ ٱسْكُنْ أَنْتَ وَزَوْجُكَ ٱلْجَنَّةَ وَكُلاَ مِنْهَا رَغَداً حَيْثُ شِئْتُمَا وَلاَ تَقْرَبَا هَـٰذِهِ ٱلشَّجَرَةَ فَتَكُونَا مِنَ ٱلْظَّٰلِمِينَ
The Cow,2,36,فَأَزَلَّهُمَا ٱلشَّيْطَٰنُ عَنْهَا فَأَخْرَجَهُمَا مِمَّا كَانَا فِيهِ وَقُلْنَا ٱهْبِطُواْ بَعْضُكُمْ لِبَعْضٍ عَدُوٌّ وَلَكُمْ فِي ٱلأَرْضِ مُسْتَقَرٌّ وَمَتَٰعٌ إِلَىٰ حِينٍ
The Cow,2,37,فَتَلَقَّىٰ ءَادَمُ مِن رَّبِّهِ كَلِمَٰتٍ فَتَابَ عَلَيْهِ إِنَّهُ هُوَ ٱلتَّوَّابُ ٱلرَّحِيمُ
The Cow,2,38,قُلْنَا ٱهْبِطُواْ مِنْهَا جَمِيعاً فَإِمَّا يَأْتِيَنَّكُم مِّنِّي هُدًى فَمَن تَبِعَ هُدَايَ فَلاَ خَوْفٌ عَلَيْهِمْ وَلاَ هُمْ يَحْزَنُونَ
The Cow,2,39,وَٱلَّذِينَ كَفَرواْ وَكَذَّبُواْ بِآيَٰتِنَآ أُولَـٰئِكَ أَصْحَٰبُ ٱلنَّارِ هُمْ فِيهَا خَٰلِدُونَ
The Cow,2,40,يَٰبَنِي إِسْرَائِيلَ ٱذْكُرُواْ نِعْمَتِيَ ٱلَّتِي أَنْعَمْتُ عَلَيْكُمْ وَأَوْفُواْ بِعَهْدِيۤ أُوفِ بِعَهْدِكُمْ وَإِيَّٰيَ فَٱرْهَبُونِ
The Cow,2,41,وَآمِنُواْ بِمَآ أَنزَلْتُ مُصَدِّقاً لِّمَا مَعَكُمْ وَلاَ تَكُونُوۤاْ أَوَّلَ كَافِرٍ بِهِ وَلاَ تَشْتَرُواْ بِآيَٰتِي ثَمَناً قَلِيلاً وَإِيَّٰيَ فَٱتَّقُونِ
The Cow,2,42,وَلاَ تَلْبِسُواْ ٱلْحَقَّ بِٱلْبَٰطِلِ وَتَكْتُمُواْ ٱلْحَقَّ وَأَنْتُمْ تَعْلَمُونَ
The Cow,2,43,وَأَقِيمُواْ ٱلصَّلٰوةَ وَآتُواْ ٱلزَّكَٰوةَ وَٱرْكَعُواْ مَعَ ٱلرَّٰكِعِينَ
The Cow,2,44,أَتَأْمُرُونَ ٱلنَّاسَ بِٱلْبِرِّ وَتَنْسَوْنَ أَنْفُسَكُمْ وَأَنْتُمْ تَتْلُونَ ٱلْكِتَٰبَ أَفَلاَ تَعْقِلُونَ
The Cow,2,45,وَٱسْتَعِينُواْ بِٱلصَّبْرِ وَٱلصَّلَٰوةِ وَإِنَّهَا لَكَبِيرَةٌ إِلاَّ عَلَى ٱلْخَٰشِعِينَ
The Cow,2,46,ٱلَّذِينَ يَظُنُّونَ أَنَّهُم مُّلَـٰقُواْ رَبِّهِمْ وَأَنَّهُمْ إِلَيْهِ رَٰجِعُونَ
The Cow,2,47,يَٰبَنِي إِسْرَائِيلَ ٱذْكُرُواْ نِعْمَتِي ٱلَّتِيۤ أَنْعَمْتُ عَلَيْكُمْ وَأَنِّي فَضَّلْتُكُمْ عَلَى ٱلْعَٰلَمِينَ
The Cow,2,48,وَٱتَّقُواْ يَوْماً لاَّ تَجْزِي نَفْسٌ عَن نَّفْسٍ شَيْئاً وَلاَ يُقْبَلُ مِنْهَا شَفَٰعَةٌ وَلاَ يُؤْخَذُ مِنْهَا عَدْلٌ وَلاَ هُمْ يُنْصَرُونَ
The Cow,2,49,وَإِذْ نَجَّيْنَٰكُم مِّنْ آلِ فِرْعَوْنَ يَسُومُونَكُمْ سُوۤءَ ٱلْعَذَابِ يُذَبِّحُونَ أَبْنَآءَكُمْ وَيَسْتَحْيُونَ نِسَآءَكُمْ وَفِي ذَٰلِكُمْ بَلاۤءٌ مِّن رَّبِّكُمْ عَظِيمٌ
The Cow,2,50,وَإِذْ فَرَقْنَا بِكُمُ ٱلْبَحْرَ فَأَنجَيْنَٰكُمْ وَأَغْرَقْنَا آلَ فِرْعَوْنَ وَأَنْتُمْ تَنظُرُونَ
The Cow,2,51,وَإِذْ وَٰعَدْنَا مُوسَىٰ أَرْبَعِينَ لَيْلَةً ثُمَّ ٱتَّخَذْتُمُ ٱلْعِجْلَ مِن بَعْدِهِ وَأَنْتُمْ ظَٰلِمُونَ
The Cow,2,52,ثُمَّ عَفَوْنَا عَنكُم مِّن بَعْدِ ذَلِكَ لَعَلَّكُمْ تَشْكُرُونَ
The Cow,2,53,وَإِذْ آتَيْنَا مُوسَى ٱلْكِتَابَ وَٱلْفُرْقَانَ لَعَلَّكُمْ تَهْتَدُونَ
The Cow,2,54,وَإِذْ قَالَ مُوسَىٰ لِقَوْمِهِ يَٰقَوْمِ إِنَّكُمْ ظَلَمْتُمْ أَنْفُسَكُمْ بِٱتِّخَاذِكُمُ ٱلْعِجْلَ فَتُوبُوۤاْ إِلَىٰ بَارِئِكُمْ فَٱقْتُلُوۤاْ أَنفُسَكُمْ ذَٰلِكُمْ خَيْرٌ لَّكُمْ عِنْدَ بَارِئِكُمْ فَتَابَ عَلَيْكُمْ إِنَّهُ هُوَ ٱلتَّوَّابُ ٱلرَّحِيمُ
The Cow,2,55,وَإِذْ قُلْتُمْ يَٰمُوسَىٰ لَن نُّؤْمِنَ لَكَ حَتَّىٰ نَرَى ٱللَّهَ جَهْرَةً فَأَخَذَتْكُمُ ٱلصَّٰعِقَةُ وَأَنْتُمْ تَنظُرُونَ
The Cow,2,56,ثُمَّ بَعَثْنَٰكُم مِّن بَعْدِ مَوْتِكُمْ لَعَلَّكُمْ تَشْكُرُونَ
The Cow,2,57,وَظَلَّلْنَا عَلَيْكُمُ ٱلْغَمَامَ وَأَنزَلْنَا عَلَيْكُمُ ٱلْمَنَّ وَٱلسَّلْوَىٰ كُلُواْ مِن طَيِّبَٰتِ مَا رَزَقْنَٱكُمْ وَمَا ظَلَمُونَا وَلَـٰكِن كَانُوۤاْ أَنْفُسَهُمْ يَظْلِمُونَ
The Cow,2,58,وَإِذْ قُلْنَا ٱدْخُلُواْ هَـٰذِهِ ٱلْقَرْيَةَ فَكُلُواْ مِنْهَا حَيْثُ شِئْتُمْ رَغَداً وَٱدْخُلُواْ ٱلْبَابَ سُجَّداً وَقُولُواْ حِطَّةٌ نَّغْفِرْ لَكُمْ خَطَٰيَٰكُمْ وَسَنَزِيدُ ٱلْمُحْسِنِينَ
The Cow,2,59,فَبَدَّلَ ٱلَّذِينَ ظَلَمُواْ قَوْلاً غَيْرَ ٱلَّذِي قِيلَ لَهُمْ فَأَنزَلْنَا عَلَى ٱلَّذِينَ ظَلَمُواْ رِجْزاً مِّنَ ٱلسَّمَآءِ بِمَا كَانُواْ يَفْسُقُونَ
The Cow,2,60,وَإِذِ ٱسْتَسْقَىٰ مُوسَىٰ لِقَوْمِهِ فَقُلْنَا ٱضْرِب بِّعَصَاكَ ٱلْحَجَرَ فَٱنفَجَرَتْ مِنْهُ ٱثْنَتَا عَشْرَةَ عَيْناً قَدْ عَلِمَ كُلُّ أُنَاسٍ مَّشْرَبَهُمْ كُلُواْ وَٱشْرَبُواْ مِن رِّزْقِ ٱللَّهِ وَلاَ تَعْثَوْاْ فِي ٱلأَرْضِ مُفْسِدِينَ
The Cow,2,61,وَإِذْ قُلْتُمْ يَٰمُوسَىٰ لَن نَّصْبِرَ عَلَىٰ طَعَامٍ وَاحِدٍ فَٱدْعُ لَنَا رَبَّكَ يُخْرِجْ لَنَا مِمَّا تُنْبِتُ ٱلأَرْضُ مِن بَقْلِهَا وَقِثَّآئِهَا وَفُومِهَا وَعَدَسِهَا وَبَصَلِهَا قَالَ أَتَسْتَبْدِلُونَ ٱلَّذِي هُوَ أَدْنَىٰ بِٱلَّذِي هُوَ خَيْرٌ ٱهْبِطُواْ مِصْراً فَإِنَّ لَكُمْ مَّا سَأَلْتُمْ وَضُرِبَتْ عَلَيْهِمُ ٱلذِّلَّةُ وَٱلْمَسْكَنَةُ وَبَآءُو بِغَضَبٍ مِّنَ ٱللَّهِ ذَلِكَ بِأَنَّهُمْ كَانُواْ يَكْفُرُونَ بِآيَاتِ ٱللَّهِ وَيَقْتُلُونَ ٱلنَّبِيِّينَ بِغَيْرِ ٱلْحَقِّ ذٰلِكَ بِمَا عَصَواْ وَّكَانُواْ يَعْتَدُونَ
The Cow,2,62,إِنَّ ٱلَّذِينَ آمَنُواْ وَٱلَّذِينَ هَادُواْ وَٱلنَّصَارَىٰ وَٱلصَّابِئِينَ مَنْ آمَنَ بِٱللَّهِ وَٱلْيَوْمِ ٱلآخِرِ وَعَمِلَ صَالِحاً فَلَهُمْ أَجْرُهُمْ عِندَ رَبِّهِمْ وَلاَ خَوْفٌ عَلَيْهِمْ وَلاَ هُمْ يَحْزَنُونَ
The Cow,2,63,وَإِذْ أَخَذْنَا مِيثَاقَكُمْ وَرَفَعْنَا فَوْقَكُمُ ٱلطُّورَ خُذُواْ مَآ ءَاتَيْنَٰكُم بِقُوَّةٍ وَٱذْكُرُواْ مَا فِيهِ لَعَلَّكُمْ تَتَّقُونَ
The Cow,2,64,ثُمَّ تَوَلَّيْتُمْ مِّن بَعْدِ ذٰلِكَ فَلَوْلاَ فَضْلُ ٱللَّهِ عَلَيْكُمْ وَرَحْمَتُهُ لَكُنْتُم مِّنَ ٱلْخَاسِرِينَ
The Cow,2,65,وَلَقَدْ عَلِمْتُمُ ٱلَّذِينَ ٱعْتَدَواْ مِنْكُمْ فِي ٱلسَّبْتِ فَقُلْنَا لَهُمْ كُونُواْ قِرَدَةً خَاسِئِينَ
The Cow,2,66,فَجَعَلْنَاهَا نَكَالاً لِّمَا بَيْنَ يَدَيْهَا وَمَا خَلْفَهَا وَمَوْعِظَةً لِّلْمُتَّقِينَ
The Cow,2,67,وَإِذْ قَالَ مُوسَىٰ لِقَوْمِهِ إِنَّ ٱللَّهَ يَأْمُرُكُمْ أَنْ تَذْبَحُواْ بَقَرَةً قَالُوۤاْ أَتَتَّخِذُنَا هُزُواً قَالَ أَعُوذُ بِٱللَّهِ أَنْ أَكُونَ مِنَ ٱلْجَاهِلِينَ
The Cow,2,68,قَالُواْ ٱدْعُ لَنَا رَبَّكَ يُبَيِّن لَّنَا مَا هِيَ قَالَ إِنَّهُ يَقُولُ إِنَّهَا بَقَرَةٌ لاَّ فَارِضٌ وَلاَ بِكْرٌ عَوَانٌ بَيْنَ ذٰلِكَ فَٱفْعَلُواْ مَا تُؤْمَرونَ
The Cow,2,69,قَالُواْ ٱدْعُ لَنَا رَبَّكَ يُبَيِّن لَّنَا مَا لَوْنُهَا قَالَ إِنَّهُ يَقُولُ إِنَّهَا بَقَرَةٌ صَفْرَآءُ فَاقِـعٌ لَّوْنُهَا تَسُرُّ ٱلنَّاظِرِينَ
The Cow,2,70,قَالُواْ ٱدْعُ لَنَا رَبَّكَ يُبَيِّن لَّنَا مَا هِيَ إِنَّ ٱلبَقَرَ تَشَابَهَ عَلَيْنَا وَإِنَّآ إِن شَآءَ ٱللَّهُ لَمُهْتَدُونَ
The Cow,2,71,قَالَ إِنَّهُ يَقُولُ إِنَّهَا بَقَرَةٌ لاَّ ذَلُولٌ تُثِيرُ ٱلأَرْضَ وَلاَ تَسْقِي ٱلْحَرْثَ مُسَلَّمَةٌ لاَّ شِيَةَ فِيهَا قَالُواْ ٱلآنَ جِئْتَ بِٱلْحَقِّ فَذَبَحُوهَا وَمَا كَادُواْ يَفْعَلُونَ
The Cow,2,72,وَإِذْ قَتَلْتُمْ نَفْساً فَٱدَّارَأْتُمْ فِيهَا وَٱللَّهُ مُخْرِجٌ مَّا كُنْتُمْ تَكْتُمُونَ
The Cow,2,73,فَقُلْنَا ٱضْرِبُوهُ بِبَعْضِهَا كَذَلِكَ يُحْيِي ٱللَّهُ ٱلْمَوْتَىٰ وَيُرِيكُمْ آيَاتِهِ لَعَلَّكُمْ تَعْقِلُونَ
The Cow,2,74,ثُمَّ قَسَتْ قُلُوبُكُمْ مِّن بَعْدِ ذٰلِكَ فَهِيَ كَٱلْحِجَارَةِ أَوْ أَشَدُّ قَسْوَةً وَإِنَّ مِنَ ٱلْحِجَارَةِ لَمَا يَتَفَجَّرُ مِنْهُ ٱلأَنْهَارُ وَإِنَّ مِنْهَا لَمَا يَشَّقَّقُ فَيَخْرُجُ مِنْهُ ٱلْمَآءُ وَإِنَّ مِنْهَا لَمَا يَهْبِطُ مِنْ خَشْيَةِ ٱللَّهِ وَمَا ٱللَّهُ بِغَافِلٍ عَمَّا تَعْمَلُونَ
The Cow,2,75,أَفَتَطْمَعُونَ أَن يُؤْمِنُواْ لَكُمْ وَقَدْ كَانَ فَرِيقٌ مِّنْهُمْ يَسْمَعُونَ كَلاَمَ ٱللَّهِ ثُمَّ يُحَرِّفُونَهُ مِن بَعْدِ مَا عَقَلُوهُ وَهُمْ يَعْلَمُونَ
The Cow,2,76,وَإِذَا لَقُواْ ٱلَّذِينَ آمَنُواْ قَالُوۤاْ آمَنَّا وَإِذَا خَلاَ بَعْضُهُمْ إِلَىٰ بَعْضٍ قَالُوۤاْ أَتُحَدِّثُونَهُم بِمَا فَتَحَ ٱللَّهُ عَلَيْكُمْ لِيُحَآجُّوكُم بِهِ عِنْدَ رَبِّكُمْ أَفَلاَ تَعْقِلُونَ
The Cow,2,77,أَوَلاَ يَعْلَمُونَ أَنَّ ٱللَّهَ يَعْلَمُ مَا يُسِرُّونَ وَمَا يُعْلِنُونَ
The Cow,2,78,وَمِنْهُمْ أُمِّيُّونَ لاَ يَعْلَمُونَ ٱلْكِتَابَ إِلاَّ أَمَانِيَّ وَإِنْ هُمْ إِلاَّ يَظُنُّونَ
The Cow,2,79,فَوَيْلٌ لِّلَّذِينَ يَكْتُبُونَ ٱلْكِتَابَ بِأَيْدِيهِمْ ثُمَّ يَقُولُونَ هَـٰذَا مِنْ عِنْدِ ٱللَّهِ لِيَشْتَرُواْ بِهِ ثَمَناً قَلِيلاً فَوَيْلٌ لَّهُمْ مِّمَّا كَتَبَتْ أَيْدِيهِمْ وَوَيْلٌ لَّهُمْ مِّمَّا يَكْسِبُونَ
The Cow,2,80,وَقَالُواْ لَن تَمَسَّنَا ٱلنَّارُ إِلاَّ أَيَّاماً مَّعْدُودَةً قُلْ أَتَّخَذْتُمْ عِندَ ٱللَّهِ عَهْداً فَلَنْ يُخْلِفَ ٱللَّهُ عَهْدَهُ أَمْ تَقُولُونَ عَلَى ٱللَّهِ مَا لاَ تَعْلَمُونَ
The Cow,2,81,بَلَىٰ مَن كَسَبَ سَيِّئَةً وَأَحَاطَتْ بِهِ خَطِيـۤئَتُهُ فَأُوْلَـۤئِكَ أَصْحَابُ ٱلنَّارِ هُمْ فِيهَا خَالِدُونَ
The Cow,2,82,وَٱلَّذِينَ آمَنُواْ وَعَمِلُواْ ٱلصَّالِحَاتِ أُولَـٰئِكَ أَصْحَابُ ٱلْجَنَّةِ هُمْ فِيهَا خَالِدُونَ
The Cow,2,83,وَإِذْ أَخَذْنَا مِيثَاقَ بَنِيۤ إِسْرَائِيلَ لاَ تَعْبُدُونَ إِلاَّ ٱللَّهَ وَبِٱلْوَالِدَيْنِ إِحْسَاناً وَذِي ٱلْقُرْبَىٰ وَالْيَتَامَىٰ وَٱلْمَسَاكِينِ وَقُولُواْ لِلنَّاسِ حُسْناً وَأَقِيمُواْ ٱلصَّلاَةَ وَآتُواْ ٱلزَّكَاةَ ثُمَّ تَوَلَّيْتُمْ إِلاَّ قَلِيلاً مِّنْكُمْ وَأَنْتُمْ مُّعْرِضُونَ
The Cow,2,84,وَإِذْ أَخَذْنَا مِيثَاقَكُمْ لاَ تَسْفِكُونَ دِمَآءَكُمْ وَلاَ تُخْرِجُونَ أَنْفُسَكُمْ مِّن دِيَارِكُمْ ثُمَّ أَقْرَرْتُمْ وَأَنْتُمْ تَشْهَدُونَ
The Cow,2,85,ثُمَّ أَنْتُمْ هَـٰؤُلاۤءِ تَقْتُلُونَ أَنْفُسَكُمْ وَتُخْرِجُونَ فَرِيقاً مِّنْكُمْ مِّن دِيَارِهِمْ تَظَاهَرُونَ عَلَيْهِمْ بِٱلإِثْمِ وَالْعُدْوَانِ وَإِن يَأتُوكُمْ أُسَارَىٰ تُفَادُوهُمْ وَهُوَ مُحَرَّمٌ عَلَيْكُمْ إِخْرَاجُهُمْ أَفَتُؤْمِنُونَ بِبَعْضِ ٱلْكِتَابِ وَتَكْفُرُونَ بِبَعْضٍ فَمَا جَزَآءُ مَن يَفْعَلُ ذٰلِكَ مِنكُمْ إِلاَّ خِزْيٌ فِي ٱلْحَيَاةِ ٱلدُّنْيَا وَيَوْمَ ٱلْقِيَامَةِ يُرَدُّونَ إِلَىٰ أَشَدِّ ٱلّعَذَابِ وَمَا ٱللَّهُ بِغَافِلٍ عَمَّا تَعْمَلُونَ
